ns1:PERIODICAL-TITLE,ns1:LOCATION,ns1:TITLE,ns1:AUTHOR,ns1:ENGLISH,ns1:SPANISH,ns1:GENDER,ns1:LANGUAGE,ns1:ETHNICITY
"El Latino Americano, El Paso, TX.","21, Enero 1891 [p.4]",La sonrisa de mi hijo.,"Armino de Cuesta, Robustiana, 1821-1890","Poetry
Motherhood
1891","Poesía
Maternidad",Female,,
"El Continental, El Paso, TX.","26, Junio 1935 p.2","""Aún te quiero""","Arroyo, Paula Elvira","Poetry
Love poetry
Sadness in literature
1935","Poesía
Poesía amorosa
Tristeza en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","28, Julio 1926 p.3",Diamantina,"Ayala López, Loreto","Short stories
Death in literature
Children in literature
1926","Cuentos
Muerte en la literatura
Niños en la literatura",Female,Spanish,
"EL Cronista del Valle, Brownsville, TX.","11, Junio 1927 p.2",¡Madre mia!,"Ayala López, Loreto","Poetry
Death in literature
1927","Poesía
Muerte en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville,TX.","2, Noviembre 1926 p.2",El barquero,"Ayala López, Loreto","Poetry
Love in literature
1926","Poesía
Amor en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","14, Noviembre 1926 p.3",Ambarina,"Ayala López, Loreto","Short stories
Suffering in literature
Dissappointment in literature
Love in literature
1926","Cuentos
Sufrimiento en la literatura
Decepción en la literatura
Amor en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","25, Diciembre 1926 p.3",Cuento de navidad,"Ayala López, Loreto","Short stories
Suffering in literature
Children in literature
Christmas in literature
1926","Cuentos
Sufrimiento en la literatura
Niños en la literatura
Navidad en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","28, Septiembre 1926 p.3",La escuela,"Ayala López, Loreto","Short stories
Melancholy in literature
Education in literature
1926","Cuentos
Melancolía en la literatura
Educación en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX",17 marzo 1926 p. 2,El milagro de Cristo,"Ayala López, Loreto","Potrey
Jesus Christ in literature
1927","Poesía
Jesucristo en la literatura",Female,Spanish,
"El cronista del Valle, Brownsville, TX","24 febrero, 1928, p. 2",La tristesa de mi aldea,"Ayala López, Loreto","Poetry
Melancholy in literature
1928","Poesía
Melancolía en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX","29 Junio, 1928, p. 2",Besos de Olas,"Ayala López, Loreto","Poetry
Love in literature
1928","Poesía
Amor en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX","23 Noviembre, 1928, p. 2",Alla Quedo,"Ayala López, Loreto","Poetry
Death in literature
1928","Poesía
Muerte en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX","23 Noviembre 1928, p. 2",Lo que quiero,"Ayala López, Loreto","Poetry
Love in literature
1928","Poesía
Amor en la literatura",Female,Spanish,
"El Continental, El Paso, TX.","30, Octubre 1936 p.6",En la tumba de mi esposo,"B. Vda de Sotelo, Aurelia","Poetry
Death in literature
1936","Poesía
Muerte en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","20, Agosto 1925 [p.2]",Canción de primavera,"Baez C., Carmen","Poetry
nature in literature
1925","Poesía
Naturaleza en la literatura",Female,Spanish,Paraguayan
"El Continental, El Paso, TX.","3, Mayo 1935 p.2",Los libros,"Balcells, María Teresa O.","Short stories
Books in literature
Religion in literature
1935","Cuentos
Libros en la literatura
Religión en la literatura",Female,Spanish,
"El Contineltal, El Paso, TX.","21, unio 1935 p.2",Bosquejo.,"Balcells, María Teresa O.","Short stories
Death in literature
Sadness in literature
1935","Cuentos
Muerte en la literatura
Tristeza en la literatura",Female,Spanish,
"La Época, San Antonio, Tx","5, enero, 1919 p. 16",El arte de agradar,Baronesa Livet,"Essays
Women in literature
1919","Ensayos
Mujeres en la literatura",female,Spanish,
"La Patria, El Paso, TX","17, Octubre 1919 [p.6]",Asuntos pedagógicos,"Barrett, Jean","Essays
Education in literature
1919
Home in literature
Music in literature
Didactic literature
1919","Ensayos
Literatura didáctica
Música en la literatura
Hogar en la literatura
Educación en literatura",Female,Spanish,
"La Patria, El Paso, TX","17, Octubre 1919 [p.6]",Asuntos pedagógicos,"Barrett, Jean","Essays
Education in literature
1919
Home in literature
Music in literature
Didactic literature
1919","Ensayos
Literatura didáctica
Música en la literatura
Hogar en la literatura
Educación en literatura",Female,Spanish,
"El Continental, El Paso, TX.","25, Octubre 1935 p.5",¡Me giielen a musolinis! IN: Espontaneidades.,"Basurto, Carmen, 1904-","Poetry
Humor in literature
Socialism in literature
Women-Social conditions
1935",,Female,Spanish,
"El Faro Dominical,  El Paso, TX","20 Enero, 1929  [p. 17]",La oveja y el pastor,Beatriz,"Poetry
Christian poetry
Jesus Christ in literature
1929","Poesía
Poesía cristiana
Jesucristo en la literatura",Female,Spanish,
"EL Cronista del Valle, Brownsville, TX",25 marzo 1927 p. 3,Mujeres,"Bergerete, Zoé","Short stories
Man-Woman relationships
1927","Cuentos
Relaciones hombre mujer",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","23, Junio 1925 [p.2]",El primer debut,"Bernhardt, Sarah, 1844-1923","Memoirs
Women in literature
Women and literature
Acting in literature
1925","Memorias
Mujeres en la literatura
Mujeres y literatura
Acturación teatral en la literatura",Female,Spanish,French
"El Cronista del Valle, Brownsville, TX.","23, Junio 1925 [p.2]",El primer debut,"Bernhardt, Sarah, 1844-1923","Memoirs
Women in literature
Women and literature
Acting in literature
1925","Memorias
Mujeres en la literatura
Mujeres y literatura
Acturación teatral en la literatura",Female,Spanish,French
"El Cronista del Valle, Brownsville, TX.","23, Junio 1925 [p.2]",El primer debut,"Bernhardt, Sarah, 1844-1923","Memoirs
Women in literature
Women and literature
Acting in literature
1925","Memorias
Mujeres en la literatura
Mujeres y literatura
Acturación teatral en la literatura",Female,Spanish,French
"El Cronista del Valle, Brownsville, TX.","23, Junio 1925 [p.2]",El primer debut,"Bernhardt, Sarah, 1844-1923","Memoirs
Women in literature
Women and literature
Acting in literature
1925","Memorias
Mujeres en la literatura
Mujeres y literatura
Acturación teatral en la literatura",Female,Spanish,French
"El Cronista del Valle, Brownsville, TX.","23, Junio 1925 [p.2]",El primer debut,"Bernhardt, Sarah, 1844-1923","Memoirs
Women in literature
Women and literature
Acting in literature
1925","Memorias
Mujeres en la literatura
Mujeres y literatura
Acturación teatral en la literatura",Female,Spanish,French
"El Cronista del Valle, Brownsville, TX.","24, Junio 1927 p.2",Versos de mi casa,"Betnaza, María Enriqueta, 1909-","Poetry
Creation (Literary, artistic, etc.)
1927","Poesía
Creación literaria, artística, etc.",Female,Spanish,Argentinian?
"El Cronista del Valle, Brownsville, TX.","5, Junio 1926 [p.3]",La limosna,"Bianchi, Ana","Short stories
Children in literature
Charity in literature
Didactic literature
1926","Cuentos
Niños en la literatura
Caridad en la literatura
Literatura didáctica",Female,Spanish,
"El Eco, Kingsville, TX.",[Julio] 1933 p.6,¿Qué es la vida para ti?,"Bingham de Urquidi, Mary","Poetry
Faith in literature
Didactic literature
1933
Women and literature","Poesía
Fe en la literatura
Literatura didáctica
Mujeres y literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","27, Febrero 1925 [p.2]",La adivinadora,"Bizet, René","Short stories
Fortune-telling in literature
Old age in literature
Husband and wife in literature
Deafness in literature
Love in literature
1925","Cuentos
Buenaventura en la literatura
Vejez en la literatura
Cónyuges en la literatura
Sordera en la literatura
Amor en la literatura",Female,Spanish,French
"Las Dos Américas, El Paso, TX.","11, Julio 1898 p.3",Los dos pesares,"Black, Caterine","Short stories
Women in literature
1898","Cuentos
Mujeres en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","26, Enero 1925 [p.2]",Coqueteria postuma,"Bobio, Dolores, b.1880","Poetry
Death in literature
Coquetry in literature
1925","Poesía
Muerte en la literatura
Coquetería en lal iteratura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","22, junio 1926 [p.2]",Arrebatos,"Boilo, Dolres, b.1880","Poetry
Love poetry
Virginity in literature
1926","Poesía
Poesía amorosa
Virginidad en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville,TX.","7, Abril 1925 [p.2]",La dama andante de san cayetano,"Bolio de Peon, Dolores 1880-","Poetry
Women in literature
Women and literature
1925","Poesía
Mujeres en la literatura
Mujeres y la literatura",Female,Spanish,Mexican
"El Cronista del Valle, Brownsville, TX.","17, Febrero 1925 [p.2]","""El peine xtabay""","Bolio de Peón, Dolores, 1880-","Poetry
Hair in literature
Witchcraft in literature
Women in literature
1925","Poesía
Caballo en la literatura
Brujeria en la literatura
Mujeres en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","10, Agosto 1926 p.2",Arrebatos,"Bolio, Dolores, b. 1880","Poetry
Love poetry
1926","Poesía
Poesía amorosa",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","28, Mayo 1927 p.2",Calendario,"Bolio, Dolores, b. 1882?","Poetry
Sonnet
Time in literature
1927","Poesía
Soneto
Tiempo en la literatura",Female,Spanish,Mexican
"El Cronista del Valle, Brownsville, TX.","25, Febrero 1925 [p.2]",En carnaval,"Bondon Rios, Mila","Poetry
Love in literature
Joy in literature
Sadness in literature
1925
Carnival in literature","Poesía
Amor en la literatura
Alegria en la litertura
Tristeza en la literatura
Carnaval en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","27, Enero 1927 p.3",La felizidad humana estriba en el poder educativo de la mujer,"Brunet, María E.","Essays
Women in literature
Women-Moral conditions
1927","Ensayos
Mujeres en la literatura
Mujeres-condiciones morales",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","9, Octubre 1926 p.3",Una mujer pálida,"Brunset, Marta","Short stories
Death in literature
1926","Cuentos
Muerte en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","27, Octubre 1924 [p.2]",Ya lo decía ella,"Burgos, Carmen de, 1879-1932","Short stories
Man-Woman relationships in literature
Women-Violence
1924
Alcoholism in literature","Cuentos
Relaciones hombre-mujer en la literatura
Mujeres-Violencia
Alcoholismo en la literatura",Female,Spanish,Spanish
"El Cronista del Valle, Brownsville, TX.","27, Octubre 1924 [p.2]",Ya lo decía ella,"Burgos, Carmen de, 1879-1932","Short stories
Man-Woman relationships in literature
Women-Violence
1924
Alcoholism in literature","Cuentos
Relaciones hombre-mujer en la literatura
Mujeres-Violencia
Alcoholismo en la literatura",Female,Spanish,Spanish
"El Cronista del Valle, Brownsville, TX.","4, Marzo 1926 [p.2]",Muerto que mata,"Calderón . de Galvez, Emma","Short stories
Death in literature
Nurses in literature
Coquery in literature
War in literature
Infidelity in literature
1926","Cuentos
Muerte en la literatura
Enfermeras en la literatura
Coquetería en la literatura
Guerra en la literatura
Infidelidad en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","4, Marzo 1926 [p.2]",Muerto que mata,"Calderón . de Galvez, Emma","Short stories
Death in literature
Nurses in literature
Coquery in literature
War in literature
Infidelity in literature
1926","Cuentos
Muerte en la literatura
Enfermeras en la literatura
Coquetería en la literatura
Guerra en la literatura
Infidelidad en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","4, Marzo 1926 [p.2]",Muerto que mata,"Calderón . de Galvez, Emma","Short stories
Death in literature
Nurses in literature
Coquery in literature
War in literature
Infidelity in literature
1926","Cuentos
Muerte en la literatura
Enfermeras en la literatura
Coquetería en la literatura
Guerra en la literatura
Infidelidad en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","29, Abril 1925 [p.2]",Otoño,"Camarillo Roa de Pereyra, María Enriqueta, 1872-1968","Sketches
Essays
Nature in literature
Death in literature
Sadness in literature
1925","Bocetos
Ensayos
Naturaleza en la literatura
Muerte en la literatura
Tristeza en la literatura",Female,Spanish,Mexican
"La Evolución, Laredo, TX.","24, Julio 1917 [p.2]",Sus queridas sombras,"Camarillo Roa de Pereyra, María Enriqueta, 1872-1968
María Enriqueta (pseud.)","Short stories
Children in literature
Apparitions in literature
1917","Cuentos
Niños en la literatura
Apariciones en la literatura",Female,Spanish,Mexican
"La Evolución, Laredo, TX.","24, Julio 1917 [p.2]",Sus queridas sombras,"Camarillo Roa de Pereyra, María Enriqueta, 1872-1968
María Enriqueta (pseud.)","Short stories
Children in literature
Apparitions in literature
1917","Cuentos
Niños en la literatura
Apariciones en la literatura",Female,Spanish,Mexican
"El Cronista del Valle, Brownsville, TX.","4, Agosto 1926 p.3",La cuna del pajarto,"Camarillo Roa de Pereyra, María Enriqueta, 1872-1968
María Enriqueta (pseud.)","Poetry
Animals in literature
Love in literature
1926","Poesía
Animales en la literatura
Amor en la literatura",Female,Spanish,Mexican
"El Continental, El Paso, TX.","29, Mayo 1935 p.8",Recuerdos de mi iniciación.,"Candelaria, Consuelo","Poetry
Initition rites
1935","Poesía
Ritos de iniciación",Female,Spanish,
"La Época, San Antonio, Tx","17, Noviembre, 1918 p.2",Humorada,"Cando, Elena","Epigrams
1918",Epigramas,Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","24, ABril 1926 [p.2]",Las tres rosas,"CAnto, Rosa","Poetry
Nature in literature
Roses in literature
1926","Poesía
Naturaleza en la literatura
Rosas en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","1, Marzo 1927 p.3",El pobre gabán,"Canto, Rosa","Short stories
Poverty in literature
Character in literature
1927","Cuentos
Pobreza en la literatura
Carácter en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX","28, Octubre 1926 p.3",Melancolías,"Carrasco Tomasetti, Isabel","Short stories
Love in literature
Melancholy in literature
1926","Cuentos
Amor en la literatura
Melancolía en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX","26 Octubre, 1928, p. 2",¡Adios!,"Casablanca, Elvira","Poetry
Immigration in literature
Patriotism in literature
1928","Poesía
Inmigración en la literatura
Patriotismo en la literatura",Female,Spanish,
"El Cronista del Valle, Brownsville, TX.","28, enero 1925 [p.2]",Ven,"Chavero, Herminia","Poetry
Love in literature
1925","Poesía
Amor en la literatura",Female,Spanish,
"La Evolución, Laredo, TX.","16, Octubre 1918 [p.2]",El maestro del libertador,"Cisneros, Consuelo C.","Essays
Bolívar, Simón, 1783-1830
Freedom in literature
Women and literature
1918","Ensayos
Libertad en la literatura
Mujeres y la literatura",Female,Spanish,
"El Continental, El Paso, TX.","2, Mayo 1935 p.7",Adiós. In: Espontaneidades,"Cobos A., Adelina","Poetry
Love poetry
1935","Poesía
Poesía amorosa",Female,Spanish,
"El Defensor, Edinburg, TX.","25, Julio 1930 p.5",El secreto de la personalidad.,"Colbert, Claudette","Essays
Motion pictures actors and actresses-United States
1930
Personality in literature",,Female,,American
"El Cronista del Valle, Brownsville, TX.","8, Diciembre 1926 p.3",Paralelelamente,"Comert, Marguerite","Short stories
Love in literature
Women in literature
Disappointment in literature
1926","Cuentos
Amor en la literatura
Mujeres en la literatura
Decepción en la literatura",Female,Spanish,
"El Continental, El Paso, TX.","16, diciembre 1937 p. 4",Injusticias a granel,"D' Erzell Catalina (preud.)
Dulché Escalante, Catalina, 1897-
1950","Essays
Mexico - Politics
Comunism in literature
1937","Ensayos
Mexíco - Politica
Comunismo en la literatura",Female,Spanish,Mexican
"El Continental, El Paso, TX","20, febrero 1938 p. 4",Perfumes.,"D' Erzell, Catalina (psevd.)
Dulche Escalante, Catalina, 1897-1950","Essays
Women in literature
1938","Enssayos
Mujeres en la literatura",Female,Spanish,Mexican
"Las Dos Américas, El Paso, TX.","11, Julio 1898 p.4",[El vehemente deseo...],"D'Arcanvilie, Mdme.","Epigrams
1898",Epigramas,Female,Spanish,French
"El Continental, El Paso, TX.","10, Noviembre 1935 p.8",Solotuya...IN: Cancionero,"de Amparán, Beatriz","Songs
Love song
1935","Canciones
Canción de amor",Female,Spanish,
"El Continental, El Paso, TX.","12, Noviembre 1935 p.3",Noche de amor. IN: Cancionero,"De Emparán, Beatriz","Songs
Love song
1935","Canciones
Canción de amor",Female,Spanish,
"El Faro Dominical,  El Paso, TX","22 Abril, 1928  [p. 22]",Noches de lluvia,"de Ibarborou, Juana, 1895(?)-1979  / f / Uruguayan","Essays
Sketches
Conscience in literature
1928","Ensayos
Bocetos
Conciencia (Moral) en la literatura",Female,Spanish,Uruguayan
"El Continental, El Paso, TX.","21, Marzo 1935 p.4",Como la primera,"De Ibarbourou, Juana, 1895?-1979","Poetry
Love poetry
Women in literature
Women poets
1935","Poesía
Poesía amorosa
Mujeres en la literatura
Mujeres poetas",Female,Spanish,Uruguayan
"El Faro Dominical,  El Paso, TX","19 Febrero, 1928  [p. 41]",Despierta,"de Jesús, Santa Teresa,  1515-1582  / f / Spanish
Saint Teresa de Avila","Poetry
Christian poetry
Jesus Christ-Redemption of sin
1928","Poesía
Poesía cristiana
Jesucristo-Redención del pecado",Female,Spanish,Spanish
"El Continental, El Paso, TX","27,Marzo 1935 p.5",Hombres necios,"De la Cruz, Sor Juana Inés,1651-1695","Poetry
Women in literature
Women poets
Women-social conditons
1935","Poesía
Mujeres en la literatura
Mujeres poetas
Mujeres-Condiciones sociales",Female,Spanish,Mexican
"El Continental, El Paso, TX.","22, Octubre 1935 p.5",Nostalgia de otros días.,"de Quiroz, María Luz","Letters
Nostalgia in literature
Egoism
Patriotism in literature
Sadness in literature
1935","Cartas
Nostalgia en la literatura
Egoismo
Patriotismo en la literatura
Tristeza en la literatura",Female,Spanish,Mexican
"El Faro Dominical,  El Paso, TX","9 Octubre, 1927  [p.14]",Dales Señor que descansen,"de Trelles, Alicia Müller","Poetry
Religious poetry
Nature in literature
1927","Poesía
Poesía religiosa
Naturaleza en la literatura",Female,Spanish,
